timestamp,service_tag,model,cpu,cores,ram_gb,ram_type,storage_type,storage_gb,smart_status,battery_health_pct,battery_charge_pct,battery_cycles,gpu,resolution,resolution_class,screen_size_in,touchscreen,fingerprint_reader,backlit_keyboard,wifi_standard,bluetooth,webcam,screen_grade,chassis_grade,color,charger,recommendation,status,sale_price,sale_date,notes,audit_version,express_service_code,sku,bios_version,cpu_cores_physical,ram_config,ssd_model,ssd_wear_pct,ssd_power_on_hours,ssd_data_written_tb,battery_design_wh,battery_full_wh,display_aspect,wifi_card,oem_key_present,test_display,test_keyboard,test_speaker,erase_method,erase_verified,condition_notes,warnings,list_price,photo_notes
2026-04-05 13:47:41,343GCS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,15,DDR5,NVMe,512,PASSED,89,99,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] (rev a1),1920x1200,Standard,15.9,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),sold,370.00,2026-04-21,eBay 147257219202 Best Offer (asked 445.99),2,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05 14:44:47,JW3X9S3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,15,DDR5,NVMe,512,PASSED,65,96,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] (rev a1),1920x1200,Standard,15.9,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),sold,420.99,2026-04-13,eBay 147257219187 full price 2h48m after listing,2,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05 14:47:28,9P81KL3,Vostro 15 7510,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,16,15,DDR4,NVMe,512,PASSED,100,99,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Mobile] (rev a1),1920x1080,Standard,15.3,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),sold,420.99,2026-04-25,eBay 147257219201 full price,2,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05 19:21:13,977F9S3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,15,DDR5,NVMe,512,PASSED,69,92,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] (rev a1),1920x1200,Standard,15.9,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),sold,380.00,2026-04-16,eBay 147257219196 Best Offer (asked 420.99),2,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05 19:29:01,8YR9LS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,15,DDR5,NVMe,512,PASSED,91,100,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] (rev a1),1920x1200,Standard,15.9,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),sold,370.00,2026-04-20,eBay 147257219205 Best Offer (asked 445.99),2,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05 19:34:09,2ZR9LS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,15,DDR5,NVMe,512,PASSED,100,100,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] (rev a1),1920x1200,Standard,15.9,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),sold,425.00,2026-04-13,eBay 147257219200 Best Offer (asked 455.99),2,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13 22:36:16,D70SVG3,Vostro 15 7510,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,16,15,DDR4,NVMe,512,PASSED,49,11,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Mobile] (rev a1),1920x1080,Standard,15.3,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE — BAD BATTERY (Discount),audited,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13 22:51:05,7LCTF63,Vostro 7500,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,15,DDR4,SATA,31,N/A,90,21,N/A,NVIDIA Corporation TU117M [GeForce GTX 1650 Ti Mobile] (rev a1),1920x1080,Standard,15.3,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),audited,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2026-09-07 12:07:27,JV25GS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,100,100,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557593784 listed 2026-09-07 at $479.00 free shipping; revised 2026-09-07 with photo-based condition text,3.1,43236930099,0B3F,1.26.0,14,8GB + 8GB,BC901 NVMe SK hynix 512GB,7,8087,64.31,N/A,N/A,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass_operator_override,not_tested,nvme_format_ses1,Yes,normal,,479.00,"Photos show a clean lid, palm rest and keyboard with no scratches, dents or shiny keys; only light fingerprint smudges on the palm rest. Ports and underside clean. 130 W Dell USB-C charger pictured."
2026-09-07 12:28:28,H1N3R93,Vostro 7500,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,16,DDR4,NVMe,512,PASSED,69,100,N/A,NVIDIA Corporation TU117M [GeForce GTX 1650 Ti Mobile] [10de:1f95] (rev a1),1920x1080,Standard,15.6,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557593785 listed 2026-09-07 at $329.00 free shipping; revised 2026-09-07 with photo-based condition text,3.1,37104572343,09F0,1.24.0,6,8GB + 8GB,PC SN530 NVMe WDC 512GB,13,1390,22.99,N/A,N/A,16:9,Intel Corporation 400 Series Chipset Family CNVi Wi-Fi [8086:06f0],Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal wear,,329.00,"Photos show light wear: several faint light scratches on the lid near its left edge and around the Dell logo, a tiny white nick on the lid's front edge, a few small light scuffs at one lid corner (all shown close-up), and scuff patches on the underside from desk use. Keyboard, palm rest, touchpad, ports and screen clean. 130 W Dell charger pictured."
