MemTotal:       16044188 kB
MemFree:        15319804 kB
MemAvailable:   15381884 kB
Buffers:           10444 kB
Cached:           320592 kB
SwapCached:            0 kB
Active:           135896 kB
Inactive:         235200 kB
Active(anon):      63264 kB
Inactive(anon):        0 kB
Active(file):      72632 kB
Inactive(file):   235200 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                72 kB
Writeback:             0 kB
AnonPages:         49732 kB
Mapped:            47700 kB
Shmem:             23216 kB
KReclaimable:      24936 kB
Slab:             106872 kB
SReclaimable:      24936 kB
SUnreclaim:        81936 kB
KernelStack:        5280 kB
PageTables:         1880 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022092 kB
Committed_AS:     122980 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41524 kB
VmallocChunk:          0 kB
Percpu:            10176 kB
HardwareCorrupted:     0 kB
AnonHugePages:     18432 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      173180 kB
DirectMap2M:     4747264 kB
DirectMap1G:    12582912 kB
