MemTotal:       16044200 kB
MemFree:        15315236 kB
MemAvailable:   15377524 kB
Buffers:           10444 kB
Cached:           320920 kB
SwapCached:            0 kB
Active:           136748 kB
Inactive:         234976 kB
Active(anon):      63576 kB
Inactive(anon):        0 kB
Active(file):      73172 kB
Inactive(file):   234976 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                80 kB
Writeback:             0 kB
AnonPages:         50032 kB
Mapped:            47884 kB
Shmem:             23228 kB
KReclaimable:      24716 kB
Slab:             106592 kB
SReclaimable:      24716 kB
SUnreclaim:        81876 kB
KernelStack:        5168 kB
PageTables:         1932 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022100 kB
Committed_AS:     123036 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41428 kB
VmallocChunk:          0 kB
Percpu:            10080 kB
HardwareCorrupted:     0 kB
AnonHugePages:     16384 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      164988 kB
DirectMap2M:     4755456 kB
DirectMap1G:    12582912 kB
