MemTotal:       16044200 kB
MemFree:        15306284 kB
MemAvailable:   15369836 kB
Buffers:           10436 kB
Cached:           322080 kB
SwapCached:            0 kB
Active:           136064 kB
Inactive:         236360 kB
Active(anon):      63084 kB
Inactive(anon):        0 kB
Active(file):      72980 kB
Inactive(file):   236360 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:         49868 kB
Mapped:            47472 kB
Shmem:             23228 kB
KReclaimable:      24860 kB
Slab:             106404 kB
SReclaimable:      24860 kB
SUnreclaim:        81544 kB
KernelStack:        5136 kB
PageTables:         1904 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022100 kB
Committed_AS:     122920 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41444 kB
VmallocChunk:          0 kB
Percpu:            10176 kB
HardwareCorrupted:     0 kB
AnonHugePages:     16384 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      171132 kB
DirectMap2M:     4749312 kB
DirectMap1G:    12582912 kB
