MemTotal:       16044200 kB
MemFree:        15311828 kB
MemAvailable:   15372572 kB
Buffers:           10448 kB
Cached:           319332 kB
SwapCached:            0 kB
Active:           137440 kB
Inactive:         233116 kB
Active(anon):      63912 kB
Inactive(anon):        0 kB
Active(file):      73528 kB
Inactive(file):   233116 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                40 kB
Writeback:             0 kB
AnonPages:         50192 kB
Mapped:            47684 kB
Shmem:             23092 kB
KReclaimable:      24640 kB
Slab:             106436 kB
SReclaimable:      24640 kB
SUnreclaim:        81796 kB
KernelStack:        5072 kB
PageTables:         1904 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022100 kB
Committed_AS:     122900 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41348 kB
VmallocChunk:          0 kB
Percpu:            10176 kB
HardwareCorrupted:     0 kB
AnonHugePages:     20480 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      158844 kB
DirectMap2M:     4761600 kB
DirectMap1G:    12582912 kB
