MemTotal:       32456692 kB
MemFree:        31745316 kB
MemAvailable:   31709720 kB
Buffers:           10444 kB
Cached:           333020 kB
SwapCached:            0 kB
Active:           137312 kB
Inactive:         247200 kB
Active(anon):      64576 kB
Inactive(anon):        0 kB
Active(file):      72736 kB
Inactive(file):   247200 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:         50684 kB
Mapped:            48964 kB
Shmem:             23580 kB
KReclaimable:      28488 kB
Slab:             117672 kB
SReclaimable:      28488 kB
SUnreclaim:        89184 kB
KernelStack:        5360 kB
PageTables:         1972 kB
SecPageTables:      3120 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16228344 kB
Committed_AS:     123828 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       42548 kB
VmallocChunk:          0 kB
Percpu:            10176 kB
HardwareCorrupted:     0 kB
AnonHugePages:     20480 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      179680 kB
DirectMap2M:     3612672 kB
DirectMap1G:    30408704 kB
