MemTotal:       16044204 kB
MemFree:        15324388 kB
MemAvailable:   15385808 kB
Buffers:           10448 kB
Cached:           320224 kB
SwapCached:            0 kB
Active:           137488 kB
Inactive:         233088 kB
Active(anon):      63168 kB
Inactive(anon):        0 kB
Active(file):      74320 kB
Inactive(file):   233088 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:         49648 kB
Mapped:            47516 kB
Shmem:             23216 kB
KReclaimable:      24464 kB
Slab:             106000 kB
SReclaimable:      24464 kB
SUnreclaim:        81536 kB
KernelStack:        5040 kB
PageTables:         1896 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022100 kB
Committed_AS:     122888 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41252 kB
VmallocChunk:          0 kB
Percpu:            10080 kB
HardwareCorrupted:     0 kB
AnonHugePages:     18432 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      167036 kB
DirectMap2M:     4753408 kB
DirectMap1G:    12582912 kB
