MemTotal:       16105416 kB
MemFree:        15428280 kB
MemAvailable:   15485844 kB
Buffers:           10452 kB
Cached:           306536 kB
SwapCached:            0 kB
Active:           135596 kB
Inactive:         231328 kB
Active(anon):      62612 kB
Inactive(anon):        0 kB
Active(file):      72984 kB
Inactive(file):   231328 kB
Unevictable:         160 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                96 kB
Writeback:             0 kB
AnonPages:         50288 kB
Mapped:            47752 kB
Shmem:             12556 kB
KReclaimable:      22960 kB
Slab:              95580 kB
SReclaimable:      22960 kB
SUnreclaim:        72620 kB
KernelStack:        4368 kB
PageTables:         1912 kB
SecPageTables:      3084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8052708 kB
Committed_AS:     112128 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       39904 kB
VmallocChunk:          0 kB
Percpu:             6784 kB
HardwareCorrupted:     0 kB
AnonHugePages:     20480 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      167084 kB
DirectMap2M:     4812800 kB
DirectMap1G:    12582912 kB
