MemTotal:       16044200 kB
MemFree:        15318400 kB
MemAvailable:   15379844 kB
Buffers:           10452 kB
Cached:           320080 kB
SwapCached:            0 kB
Active:           136120 kB
Inactive:         234668 kB
Active(anon):      63388 kB
Inactive(anon):        0 kB
Active(file):      72732 kB
Inactive(file):   234668 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                44 kB
Writeback:             0 kB
AnonPages:         50000 kB
Mapped:            47496 kB
Shmem:             23088 kB
KReclaimable:      24524 kB
Slab:             106072 kB
SReclaimable:      24524 kB
SUnreclaim:        81548 kB
KernelStack:        5024 kB
PageTables:         1892 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022100 kB
Committed_AS:     123132 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41268 kB
VmallocChunk:          0 kB
Percpu:            10176 kB
HardwareCorrupted:     0 kB
AnonHugePages:     18432 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      173180 kB
DirectMap2M:     3698688 kB
DirectMap1G:    13631488 kB
