MemTotal:       16044168 kB
MemFree:        15318928 kB
MemAvailable:   15380340 kB
Buffers:           10452 kB
Cached:           320052 kB
SwapCached:            0 kB
Active:           138444 kB
Inactive:         232644 kB
Active(anon):      63768 kB
Inactive(anon):        0 kB
Active(file):      74676 kB
Inactive(file):   232644 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:         50228 kB
Mapped:            47288 kB
Shmem:             23232 kB
KReclaimable:      24620 kB
Slab:             105632 kB
SReclaimable:      24620 kB
SUnreclaim:        81012 kB
KernelStack:        5184 kB
PageTables:         1892 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022084 kB
Committed_AS:     123144 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41444 kB
VmallocChunk:          0 kB
Percpu:            10080 kB
HardwareCorrupted:     0 kB
AnonHugePages:     18432 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      177276 kB
DirectMap2M:     4743168 kB
DirectMap1G:    12582912 kB
