MemTotal:       16123848 kB
MemFree:        15519664 kB
MemAvailable:   15582820 kB
Buffers:           10452 kB
Cached:           312004 kB
SwapCached:            0 kB
Active:           140204 kB
Inactive:         231452 kB
Active(anon):      61324 kB
Inactive(anon):        0 kB
Active(file):      78880 kB
Inactive(file):   231452 kB
Unevictable:         124 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               220 kB
Writeback:             0 kB
AnonPages:         49656 kB
Mapped:            47144 kB
Shmem:             12176 kB
KReclaimable:      21724 kB
Slab:              84044 kB
SReclaimable:      21724 kB
SUnreclaim:        62320 kB
KernelStack:        3728 kB
PageTables:         1868 kB
SecPageTables:      2056 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8061924 kB
Committed_AS:     111516 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       34832 kB
VmallocChunk:          0 kB
Percpu:             6912 kB
HardwareCorrupted:     0 kB
AnonHugePages:     14336 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      147604 kB
DirectMap2M:     4849664 kB
DirectMap1G:    12582912 kB
