MemTotal:       16123836 kB
MemFree:        15462924 kB
MemAvailable:   15524856 kB
Buffers:           10472 kB
Cached:           311248 kB
SwapCached:            0 kB
Active:           139880 kB
Inactive:         231472 kB
Active(anon):      62284 kB
Inactive(anon):        0 kB
Active(file):      77596 kB
Inactive(file):   231472 kB
Unevictable:         124 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                76 kB
Writeback:             0 kB
AnonPages:         50300 kB
Mapped:            47248 kB
Shmem:             12676 kB
KReclaimable:      21808 kB
Slab:              84688 kB
SReclaimable:      21808 kB
SUnreclaim:        62880 kB
KernelStack:        3760 kB
PageTables:         1892 kB
SecPageTables:      2056 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8061916 kB
Committed_AS:     112224 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       34856 kB
VmallocChunk:          0 kB
Percpu:             6848 kB
HardwareCorrupted:     0 kB
AnonHugePages:     18432 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      147604 kB
DirectMap2M:     4849664 kB
DirectMap1G:    12582912 kB
