MemTotal:       16044204 kB
MemFree:        15321792 kB
MemAvailable:   15384828 kB
Buffers:           10448 kB
Cached:           321904 kB
SwapCached:            0 kB
Active:           136468 kB
Inactive:         235896 kB
Active(anon):      63308 kB
Inactive(anon):        0 kB
Active(file):      73160 kB
Inactive(file):   235896 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                80 kB
Writeback:             0 kB
AnonPages:         49800 kB
Mapped:            47732 kB
Shmem:             23228 kB
KReclaimable:      24400 kB
Slab:             105788 kB
SReclaimable:      24400 kB
SUnreclaim:        81388 kB
KernelStack:        5024 kB
PageTables:         2000 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022100 kB
Committed_AS:     123016 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41316 kB
VmallocChunk:          0 kB
Percpu:            10176 kB
HardwareCorrupted:     0 kB
AnonHugePages:     16384 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      169084 kB
DirectMap2M:     4751360 kB
DirectMap1G:    12582912 kB
