MemTotal:       16105420 kB
MemFree:        15433712 kB
MemAvailable:   15492980 kB
Buffers:           10440 kB
Cached:           308200 kB
SwapCached:            0 kB
Active:           134928 kB
Inactive:         233004 kB
Active(anon):      61912 kB
Inactive(anon):        0 kB
Active(file):      73016 kB
Inactive(file):   233004 kB
Unevictable:         160 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:         49452 kB
Mapped:            47800 kB
Shmem:             12672 kB
KReclaimable:      22952 kB
Slab:              95480 kB
SReclaimable:      22952 kB
SUnreclaim:        72528 kB
KernelStack:        4416 kB
PageTables:         1916 kB
SecPageTables:      3084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8052708 kB
Committed_AS:     112236 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       40016 kB
VmallocChunk:          0 kB
Percpu:             6784 kB
HardwareCorrupted:     0 kB
AnonHugePages:     16384 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      173232 kB
DirectMap2M:     4806656 kB
DirectMap1G:    12582912 kB
