MemTotal:       16044188 kB
MemFree:        15311556 kB
MemAvailable:   15374860 kB
Buffers:           10448 kB
Cached:           322224 kB
SwapCached:            0 kB
Active:           137484 kB
Inactive:         235612 kB
Active(anon):      63736 kB
Inactive(anon):        0 kB
Active(file):      73748 kB
Inactive(file):   235612 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                80 kB
Writeback:             0 kB
AnonPages:         50192 kB
Mapped:            47708 kB
Shmem:             23236 kB
KReclaimable:      24712 kB
Slab:             106492 kB
SReclaimable:      24712 kB
SUnreclaim:        81780 kB
KernelStack:        5056 kB
PageTables:         1908 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022092 kB
Committed_AS:     123044 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41316 kB
VmallocChunk:          0 kB
Percpu:            10176 kB
HardwareCorrupted:     0 kB
AnonHugePages:     20480 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      154748 kB
DirectMap2M:     3717120 kB
DirectMap1G:    13631488 kB
