MemTotal:       16105424 kB
MemFree:        15483048 kB
MemAvailable:   15543444 kB
Buffers:           10448 kB
Cached:           309388 kB
SwapCached:            0 kB
Active:           136092 kB
Inactive:         233884 kB
Active(anon):      62800 kB
Inactive(anon):        0 kB
Active(file):      73292 kB
Inactive(file):   233884 kB
Unevictable:         160 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                80 kB
Writeback:             0 kB
AnonPages:         50320 kB
Mapped:            47604 kB
Shmem:             12680 kB
KReclaimable:      22896 kB
Slab:              96256 kB
SReclaimable:      22896 kB
SUnreclaim:        73360 kB
KernelStack:        4400 kB
PageTables:         1996 kB
SecPageTables:      3084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8052712 kB
Committed_AS:     117364 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       39920 kB
VmallocChunk:          0 kB
Percpu:             6784 kB
HardwareCorrupted:     0 kB
AnonHugePages:     16384 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      165040 kB
DirectMap2M:     4814848 kB
DirectMap1G:    12582912 kB
