MemTotal:       16044200 kB
MemFree:        15311072 kB
MemAvailable:   15374812 kB
Buffers:           10444 kB
Cached:           322380 kB
SwapCached:            0 kB
Active:           136816 kB
Inactive:         235776 kB
Active(anon):      63012 kB
Inactive(anon):        0 kB
Active(file):      73804 kB
Inactive(file):   235776 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                84 kB
Writeback:             0 kB
AnonPages:         49492 kB
Mapped:            47760 kB
Shmem:             23228 kB
KReclaimable:      24756 kB
Slab:             105984 kB
SReclaimable:      24756 kB
SUnreclaim:        81228 kB
KernelStack:        5088 kB
PageTables:         1932 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022100 kB
Committed_AS:     123028 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41364 kB
VmallocChunk:          0 kB
Percpu:            10272 kB
HardwareCorrupted:     0 kB
AnonHugePages:     14336 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      169084 kB
DirectMap2M:     4751360 kB
DirectMap1G:    12582912 kB
