MemTotal:       16044188 kB
MemFree:        15321716 kB
MemAvailable:   15383936 kB
Buffers:           10440 kB
Cached:           320928 kB
SwapCached:            0 kB
Active:           136224 kB
Inactive:         235648 kB
Active(anon):      63752 kB
Inactive(anon):        0 kB
Active(file):      72472 kB
Inactive(file):   235648 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:         50216 kB
Mapped:            47344 kB
Shmem:             23232 kB
KReclaimable:      24636 kB
Slab:             105924 kB
SReclaimable:      24636 kB
SUnreclaim:        81288 kB
KernelStack:        5072 kB
PageTables:         1872 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022092 kB
Committed_AS:     122924 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41348 kB
VmallocChunk:          0 kB
Percpu:            10272 kB
HardwareCorrupted:     0 kB
AnonHugePages:     16384 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      169084 kB
DirectMap2M:     4751360 kB
DirectMap1G:    12582912 kB
