MemTotal:       16123848 kB
MemFree:        15487868 kB
MemAvailable:   15550796 kB
Buffers:           10440 kB
Cached:           311892 kB
SwapCached:            0 kB
Active:           139248 kB
Inactive:         231752 kB
Active(anon):      61000 kB
Inactive(anon):        0 kB
Active(file):      78248 kB
Inactive(file):   231752 kB
Unevictable:         124 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                44 kB
Writeback:             0 kB
AnonPages:         48916 kB
Mapped:            47372 kB
Shmem:             12524 kB
KReclaimable:      21936 kB
Slab:              84748 kB
SReclaimable:      21936 kB
SUnreclaim:        62812 kB
KernelStack:        3792 kB
PageTables:         1896 kB
SecPageTables:      2056 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8061924 kB
Committed_AS:     111572 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       34952 kB
VmallocChunk:          0 kB
Percpu:             6784 kB
HardwareCorrupted:     0 kB
AnonHugePages:     14336 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      139412 kB
DirectMap2M:     4857856 kB
DirectMap1G:    12582912 kB
