MemTotal:       16044200 kB
MemFree:        15313848 kB
MemAvailable:   15373992 kB
Buffers:           10452 kB
Cached:           318856 kB
SwapCached:            0 kB
Active:           136752 kB
Inactive:         232556 kB
Active(anon):      63168 kB
Inactive(anon):        0 kB
Active(file):      73584 kB
Inactive(file):   232556 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                32 kB
Writeback:             0 kB
AnonPages:         49648 kB
Mapped:            47840 kB
Shmem:             23208 kB
KReclaimable:      24448 kB
Slab:             106096 kB
SReclaimable:      24448 kB
SUnreclaim:        81648 kB
KernelStack:        5056 kB
PageTables:         1928 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022100 kB
Committed_AS:     123004 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41348 kB
VmallocChunk:          0 kB
Percpu:            10272 kB
HardwareCorrupted:     0 kB
AnonHugePages:     16384 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      169084 kB
DirectMap2M:     4751360 kB
DirectMap1G:    12582912 kB
