MemTotal:       16044196 kB
MemFree:        15362476 kB
MemAvailable:   15390084 kB
Buffers:           10720 kB
Cached:           285772 kB
SwapCached:            0 kB
Active:           136192 kB
Inactive:         199740 kB
Active(anon):      62400 kB
Inactive(anon):        0 kB
Active(file):      73792 kB
Inactive(file):   199740 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                28 kB
Writeback:             0 kB
AnonPages:         49076 kB
Mapped:            47764 kB
Shmem:             23012 kB
KReclaimable:      24592 kB
Slab:             104596 kB
SReclaimable:      24592 kB
SUnreclaim:        80004 kB
KernelStack:        5056 kB
PageTables:         1876 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022096 kB
Committed_AS:     122356 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41316 kB
VmallocChunk:          0 kB
Percpu:            10272 kB
HardwareCorrupted:     0 kB
AnonHugePages:     14336 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      175228 kB
DirectMap2M:     4745216 kB
DirectMap1G:    12582912 kB
