MemTotal:       16044184 kB
MemFree:        15320896 kB
MemAvailable:   15381968 kB
Buffers:           10448 kB
Cached:           319560 kB
SwapCached:            0 kB
Active:           137816 kB
Inactive:         232896 kB
Active(anon):      63820 kB
Inactive(anon):        0 kB
Active(file):      73996 kB
Inactive(file):   232896 kB
Unevictable:        9636 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                44 kB
Writeback:             0 kB
AnonPages:         50420 kB
Mapped:            47760 kB
Shmem:             23100 kB
KReclaimable:      24800 kB
Slab:             107212 kB
SReclaimable:      24800 kB
SUnreclaim:        82412 kB
KernelStack:        4976 kB
PageTables:         1928 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8022092 kB
Committed_AS:     123024 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       41252 kB
VmallocChunk:          0 kB
Percpu:            10176 kB
HardwareCorrupted:     0 kB
AnonHugePages:     20480 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      171132 kB
DirectMap2M:     4749312 kB
DirectMap1G:    12582912 kB
